playerid,schoolid,yearid_x,schoolname,schoolcity,schoolstate,schoolnick,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namegiven,weight,height,bats,throws,debut,finalgame,retroid,bbrefid,yearid,teamid_x,lgid_x,g_all,gs,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,teamid_y,lgid_y,salary
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1929,DET,AL,155,155.0,155,155,0,0,155,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1930,DET,AL,154,154.0,154,154,0,0,154,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1931,DET,AL,135,129.0,135,129,0,0,126,0,0,0,4,0,0,4,0.0,4.0,0.0,,,
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,BOS,AL,101,101.0,101,101,0,0,101,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,DET,AL,23,0.0,23,2,0,0,2,0,0,0,0,0,0,0,0.0,19.0,1.0,,,
alexada01,tusculum,1922,Tusculum College,Greenville,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1933,BOS,AL,94,75.0,94,78,0,0,78,0,0,0,0,0,0,0,0.0,14.0,0.0,,,
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1929,DET,AL,155,155.0,155,155,0,0,155,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1930,DET,AL,154,154.0,154,154,0,0,154,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1931,DET,AL,135,129.0,135,129,0,0,126,0,0,0,4,0,0,4,0.0,4.0,0.0,,,
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,BOS,AL,101,101.0,101,101,0,0,101,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
